gen,desired_array_size,P_ref,t_TES_hours,solarm,PPA_USD_per_MWh,CF_hybrid,CF_pb,LCOE,Annual_Revenue_USD,PV_to_Grid_MWh,CSP_to_Grid_MWh,fitness_PPA,fitness_CF,status,note,timestamp
0,83500.0,79.0,4.0,2.4000000000000004,45.57676105105769,0.3696059632137832,0.2554344546043455,123.45188164248769,22501769.0302296,147003.96381088288,176770.85996439125,45.57676105105769,0.3696059632137832,ok,init; n_jobs=4,2025-11-21T19:56:00.753095+00:00
0,118000.0,115.0,6.5,1.4000000000000001,38.179125405467204,0.4908187412607859,0.2204302642707087,111.28893240668678,27307356.588953678,207895.76911813646,222061.44822631194,38.179125405467204,0.4908187412607859,ok,init; n_jobs=4,2025-11-21T19:56:00.753103+00:00
0,65500.0,103.0,1.5,2.7,69.28116458493523,0.3021664241646966,0.1722274948088037,178.31158051077352,26597096.78623529,109300.36355218681,155397.4240160874,69.28116458493523,0.3021664241646966,ok,init; n_jobs=4,2025-11-21T19:56:00.753111+00:00
0,52000.0,130.0,1.0,3.8000000000000003,167.24258522845787,0.148282638669042,0.03740772126849951,401.02405000998556,29073130.13267866,87295.67849351355,42599.91298056724,167.24258522845787,0.148282638669042,ok,init; n_jobs=4,2025-11-21T19:56:00.753121+00:00
0,151000.0,198.0,4.0,2.9000000000000004,52.80429215463597,0.5469992307169549,0.13346531968435127,152.75284390305214,41814648.62973974,247678.39842193888,231492.92768611357,52.80429215463597,0.5469992307169549,ok,init; n_jobs=4,2025-11-21T19:56:00.753129+00:00
0,237500.0,100.0,5.5,3.6,48.75364779343863,0.5345478954227242,0.19729677151862943,143.2103997307724,37310541.04063395,295431.98453998694,172831.9718503194,48.75364779343863,0.5345478954227242,ok,init; n_jobs=4,2025-11-21T19:56:00.753136+00:00
0,292500.0,183.0,6.5,3.9000000000000004,83.6998152040295,0.4324366508663917,0.05323660650225406,223.17583640370842,47370574.6571306,293471.9670073257,85342.53915163343,83.6998152040295,0.4324366508663917,ok,init; n_jobs=4,2025-11-21T19:56:00.753144+00:00
0,220000.0,106.0,4.0,1.3,44.8503449938693,0.4846879377205432,0.1462404209528437,124.90924644332028,30182194.32182562,288793.6281632233,135793.00527997254,44.8503449938693,0.4846879377205432,ok,init; n_jobs=4,2025-11-21T19:56:00.753152+00:00
0,269500.0,59.0,8.5,3.2,43.58267543716263,0.5199638184198956,0.2908780699674305,119.30714854320397,30144688.631529976,305150.88325386174,150337.42168196678,43.58267543716263,0.5199638184198956,ok,init; n_jobs=4,2025-11-21T19:56:00.753159+00:00
0,86500.0,148.0,14.5,4.1000000000000005,243.20913185741418,0.1287268934355832,0.018987047312013883,574.7994667988401,35916702.98975378,88148.43155049112,24616.32709907976,243.20913185741418,0.1287268934355832,ok,init; n_jobs=4,2025-11-21T19:56:00.753168+00:00
0,147500.0,69.0,15.5,3.1,42.55360905605496,0.4635208195844102,0.2672842989745783,119.89777884621606,26966630.509257343,244486.91628374925,161557.3216721941,42.55360905605496,0.4635208195844102,ok,init; n_jobs=4,2025-11-21T19:56:00.753176+00:00
0,207500.0,170.0,6.0,1.2000000000000002,41.974230280537746,0.6463307433182498,0.19003126815693666,117.49809238803627,38158217.789257586,283191.16660747677,282994.56453931006,41.974230280537746,0.6463307433182498,ok,init; n_jobs=4,2025-11-21T19:56:00.753182+00:00
0,84000.0,150.0,5.5,4.5,235.8466762591015,0.1252665738158851,0.01824364638190662,552.7909904124703,33860820.87135527,85761.36731689006,23972.1513458253,235.8466762591015,0.1252665738158851,ok,init; n_jobs=4,2025-11-21T19:56:00.753189+00:00
0,235000.0,197.0,10.5,2.2,46.70456755274738,0.7619491029295253,0.21608878892419187,126.64192491518557,47915189.22860434,294558.6693440078,372908.7448222564,46.70456755274738,0.7619491029295253,ok,init; n_jobs=4,2025-11-21T19:56:00.753198+00:00
0,248000.0,54.0,8.5,4.5,63.15055780677229,0.3686250246992776,0.15070758698763181,169.1822786687507,29841332.23880768,251624.80468793787,71290.71694862936,63.15055780677229,0.3686250246992776,ok,init; n_jobs=4,2025-11-21T19:56:00.753206+00:00
0,178500.0,71.0,8.0,3.2,41.78459862397962,0.49644936428678244,0.2689286760236937,116.8204267277015,28227705.476197302,267626.76377552486,167262.87933969652,41.78459862397962,0.49644936428678244,ok,init; n_jobs=4,2025-11-21T19:56:00.753212+00:00
0,142500.0,184.0,5.5,2.1,45.56955272486652,0.6267290828151333,0.19193987451942543,129.7218949256721,40585965.90096156,239638.30920066615,309376.36734539067,45.56955272486652,0.6267290828151333,ok,init; n_jobs=4,2025-11-21T19:56:00.753219+00:00
0,176500.0,80.0,5.0,2.6,43.991784062177274,0.4658345653986289,0.20213847083339623,122.35633979129788,27962208.54569844,266412.4389291548,141658.64036004408,43.991784062177274,0.4658345653986289,ok,init; n_jobs=4,2025-11-21T19:56:00.753226+00:00
0,284500.0,62.0,3.0,1.8,58.980466925259805,0.36950324092415937,0.12768509306326828,154.637744853682,28080899.434567098,254336.51130504135,69348.32774452226,58.980466925259805,0.36950324092415937,ok,init; n_jobs=4,2025-11-21T19:56:00.753233+00:00
0,299000.0,184.0,3.0,3.3000000000000003,61.47696680575913,0.5407647862918675,0.09975380113533888,176.83879259228738,47539912.90419896,312922.7859696913,160787.16682198463,61.47696680575913,0.5407647862918675,ok,init; n_jobs=4,2025-11-21T19:56:00.753239+00:00
1,208000.0,115.0,6.0,1.2000000000000002,39.47847996056276,0.5459740006798548,0.1934196990574691,113.33032671252356,30877581.44890727,283422.2197650584,194851.00483049438,39.47847996056276,0.5459740006798548,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828653+00:00
1,68000.0,174.0,8.5,2.3000000000000003,44.789695865001804,0.5512892230130884,0.2382269246220979,134.49124616229707,36901424.897755735,119814.35177347893,363115.0075859865,44.789695865001804,0.5512892230130884,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828684+00:00
1,199500.0,111.0,5.0,2.8000000000000003,47.46310735303142,0.5304749854465985,0.19069585943406914,139.3874320878181,36218459.59321398,279271.0613719089,185425.02587931146,47.46310735303142,0.5304749854465985,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828690+00:00
1,129000.0,59.0,12.5,3.1,43.12263446494405,0.4088311802800715,0.25940861924396036,118.33714484742411,23486024.22720462,224063.36315529415,134072.75077004847,43.12263446494405,0.4088311802800715,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828694+00:00
1,284500.0,103.0,3.0,1.8,53.92130695264033,0.47426188830991844,0.1177481286509407,146.45933642227598,34396629.62776722,309211.6326403178,106241.78151917078,53.92130695264033,0.47426188830991844,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828699+00:00
1,220000.0,65.0,4.0,1.3,45.71846553292898,0.4106868572624659,0.15734786461564076,120.8694516865384,24508563.13221561,270167.81284977426,89593.87411214586,45.71846553292898,0.4106868572624659,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828704+00:00
1,214500.0,76.0,5.5,2.6,43.88289006914441,0.4844485833279954,0.2072449836716554,122.86978796149789,29158301.093772896,286401.5386660827,137975.4203292413,43.88289006914441,0.4844485833279954,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828709+00:00
1,151000.0,197.0,4.0,2.9000000000000004,52.675641182636824,0.5467279645681501,0.1340051100640664,152.5397023297545,41728635.22044481,247678.39842193888,231255.29853976067,52.675641182636824,0.5467279645681501,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828714+00:00
1,277500.0,146.0,16.0,4.9,84.87873825477591,0.4109435407129885,0.06298705086884528,228.6229733173825,45540106.3550479,279428.6230853595,80557.91857921836,84.87873825477591,0.4109435407129885,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828719+00:00
1,167500.0,69.0,15.0,2.9000000000000004,41.155302088310584,0.4891980950948948,0.2777465032443212,115.36537056944718,27431001.162648186,260656.43488213033,167881.09642099752,41.155302088310584,0.4891980950948948,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828731+00:00
1,207500.0,85.0,7.5,1.7000000000000002,38.57456491897225,0.5279033322534973,0.24073617035534092,108.85890658678912,28368651.214918766,283191.16660747677,179252.15244658684,38.57456491897225,0.5279033322534973,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828735+00:00
1,103500.0,79.0,4.0,2.4000000000000004,44.31055293229114,0.395535290820251,0.23715315755276434,120.49248009066193,23487080.85597029,182369.44360572487,164119.47115281504,44.31055293229114,0.395535290820251,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828739+00:00
1,100500.0,115.0,8.5,3.2,44.37904233817169,0.49281080716917053,0.25274028843664814,135.5223049138359,32684274.669969052,177091.7005091141,254610.5665710793,44.37904233817169,0.49281080716917053,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828743+00:00
1,279000.0,59.0,6.5,1.4000000000000001,42.35012633272119,0.4790486377849319,0.21649166456253835,115.08810976144568,27071761.087233014,307755.054787098,111891.55191250233,42.35012633272119,0.4790486377849319,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828749+00:00
1,299000.0,184.0,3.0,3.3000000000000003,61.47696680575913,0.5407647862918675,0.09975380113533888,176.83879259228738,47539912.90419896,312922.7859696913,160787.16682198463,61.47696680575913,0.5407647862918675,ok,offspring; n_jobs=4,2025-11-21T20:02:43.828755+00:00
