timestep,price_EUR_per_MWh,pv_to_grid_MWe,pv_to_heater_MWe,csp_to_pb_MWt,csp_to_tes_MWt,tes_charge_MWt,tes_discharge_MWt,tes_energy_MWht,pb_electric_MWe,spill_pv_MWe,spill_csp_MWt
97,0.5,0.0,0.0,0.0,0.0,0.0,0.0,42.7426002998076,0.0,0.0,0.0
98,0.5,0.0,0.0,0.0,0.0,0.0,0.0,42.6998576995078,0.0,0.0,0.0
99,0.5,0.0,0.0,0.0,0.0,0.0,0.0,42.6571578418083,0.0,0.0,0.0
100,0.5,0.0,0.0,0.0,0.0,0.0,0.0,42.6145006839665,0.0,0.0,0.0
101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5718861832825,0.0,0.0,0.0
102,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5293142970992,0.0,0.0,0.0
103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4867849828021,0.0,0.0,0.0
104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4442981978193,0.0,0.0,0.0
105,1.0,18.7672144655827,0.0,0.0,0.0,0.0,0.0,42.4018538996215,0.0,0.0,0.0
106,1.0,27.628557788381,0.0,0.0,0.0,0.0,0.0,42.3594520457219,0.0,0.0,0.0
107,1.0,21.586950599156,0.0,0.0,0.0,0.0,0.0,42.3170925936762,0.0,0.0,0.0
108,1.0,49.2657117156962,0.0,0.0,0.0,0.0,0.0,42.2747755010825,0.0,0.0,0.0
109,1.0,52.5277284640702,0.0,0.0,0.0,0.0,0.0,42.2325007255814,0.0,0.0,0.0
110,1.0,14.3025451187617,0.0,0.0,0.0,0.0,0.0,42.1902682248558,0.0,0.0,0.0
111,1.0,21.4857669595934,0.0,0.0,0.0,0.0,0.0,42.148077956631,0.0,0.0,0.0
112,1.0,5.66155784949522,0.0,0.0,0.0,0.0,0.0,42.1059298786743,0.0,0.0,0.0
113,2.0,0.0,0.0,0.0,0.0,0.0,41.6431857093077,0.0,16.65727428372308,0.0,0.0
114,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,1.0,7.74193731212841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,1.0,11.0198957020312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,1.0,13.2783561550151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,1.0,13.2144847641958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,1.0,11.2838244656212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,1.0,7.95564603152538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,1.0,8.12203096150045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,1.0,5.22298725830293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,1.0,23.4381998048105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,1.0,9.45503815659641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,1.0,26.6339754375585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,1.0,47.9435235611152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1.0,61.3742220419214,0.0,0.0,121.359548837806,120.145953349428,0.0,120.145953349428,0.0,0.0,0.0
158,1.0,9.94041139619304,0.0,0.0,0.0,0.0,0.0,120.025807396079,0.0,0.0,0.0
159,1.0,18.4030640132909,0.0,0.0,0.0,0.0,0.0,119.905781588683,0.0,0.0,0.0
