Hour,AC_kWh,POA_kWh/m2
471,40752.13114417456,409.300924913712
472,49698.97786590966,500.7695767927852
473,43704.665276599,438.203962818984
474,-0.15630000000000002,0.0
475,-0.15630000000000002,0.0
476,-0.15630000000000002,0.0
477,-0.15630000000000002,0.0
478,-0.15630000000000002,0.0
479,-0.15630000000000002,0.0
480,-0.15630000000000002,0.0
481,-0.15630000000000002,0.0
482,-0.15630000000000002,0.0
483,-0.15630000000000002,0.0
484,-0.15630000000000002,0.0
485,-0.15630000000000002,0.0
486,-0.15630000000000002,0.0
487,-0.15630000000000002,0.0
488,-0.15630000000000002,0.0
489,-0.15630000000000002,0.0
490,16859.125352640713,190.92292988927232
491,40900.333848734204,410.2751442029229
492,56462.580159259094,579.2829584300374
493,66430.2953777865,689.5730449226186
494,71816.90015184677,747.5542137580935
495,69532.53539925397,718.6010147599542
496,59322.69737292856,605.0291419480178
497,39662.68912130969,398.86652664510945
498,-0.15630000000000002,0.0
499,-0.15630000000000002,0.0
500,-0.15630000000000002,0.0
501,-0.15630000000000002,0.0
502,-0.15630000000000002,0.0
503,-0.15630000000000002,0.0
504,-0.15630000000000002,0.0
505,-0.15630000000000002,0.0
506,-0.15630000000000002,0.0
507,-0.15630000000000002,0.0
508,-0.15630000000000002,0.0
509,-0.15630000000000002,0.0
510,-0.15630000000000002,0.0
511,-0.15630000000000002,0.0
512,-0.15630000000000002,0.0
513,-0.15630000000000002,0.0
514,17427.506528802733,195.95652142575784
515,41874.34292901379,417.29216621021357
516,56528.26507999037,580.0971304981102
517,66111.64561788738,693.7117722171655
518,71155.27871407912,754.3308948801414
519,67984.50126420657,720.461139945315
520,58745.39096354746,613.1275782426168
521,38853.6166557945,395.90567166400723
522,-0.15630000000000002,0.0
523,-0.15630000000000002,0.0
524,-0.15630000000000002,0.0
525,-0.15630000000000002,0.0
526,-0.15630000000000002,0.0
527,-0.15630000000000002,0.0
528,-0.15630000000000002,0.0
529,-0.15630000000000002,0.0
530,-0.15630000000000002,0.0
531,-0.15630000000000002,0.0
532,-0.15630000000000002,0.0
533,-0.15630000000000002,0.0
534,-0.15630000000000002,0.0
535,-0.15630000000000002,0.0
536,-0.15630000000000002,0.0
537,-0.15630000000000002,0.0
538,21069.640326850265,230.6160706839174
539,36102.563967936556,353.954291873659
540,57312.66959366849,580.0107412583974
541,67884.30171643435,703.486567825183
542,72542.5618102642,759.2227741215961
543,67045.70840835685,699.2841842260583
544,59266.504417015516,612.490173589618
545,39744.827149521625,403.1389617407299
546,-0.15630000000000002,1.7466024656409576
547,-0.15630000000000002,0.0
548,-0.15630000000000002,0.0
549,-0.15630000000000002,0.0
550,-0.15630000000000002,0.0
551,-0.15630000000000002,0.0
552,-0.15630000000000002,0.0
553,-0.15630000000000002,0.0
554,-0.15630000000000002,0.0
555,-0.15630000000000002,0.0
556,-0.15630000000000002,0.0
557,-0.15630000000000002,0.0
558,-0.15630000000000002,0.0
559,-0.15630000000000002,0.0
560,-0.15630000000000002,0.0
561,-0.15630000000000002,0.0
562,17867.019120565456,196.65045700104685
563,42224.396443733836,423.4045424282027
564,57948.26875051253,595.6110670378948
565,71982.90254877615,755.3265928791494
566,72671.05682795771,764.2311589456174
567,71818.95645488457,755.1516365529828
568,61302.17057644397,636.370171069996
569,44980.41325736481,460.59288137527454
570,49.23507641807703,3.4938625100150627
571,-0.15630000000000002,0.0
572,-0.15630000000000002,0.0
573,-0.15630000000000002,0.0
574,-0.15630000000000002,0.0
575,-0.15630000000000002,0.0
576,-0.15630000000000002,0.0
577,-0.15630000000000002,0.0
578,-0.15630000000000002,0.0
579,-0.15630000000000002,0.0
580,-0.15630000000000002,0.0
581,-0.15630000000000002,0.0
582,-0.15630000000000002,0.0
583,-0.15630000000000002,0.0
584,-0.15630000000000002,0.0
585,-0.15630000000000002,0.0
586,20879.747459971633,226.32520930424397
587,11623.829495930842,115.28185473203627
588,18075.56230092911,177.14057141278474
589,46431.69741344538,455.55547051411844
590,61380.49094214726,610.6293687565491
591,57306.242785455484,569.9850096069941
592,19717.05913426651,195.07764219549176
593,4739.263641017792,49.97402106669549
594,-0.15630000000000002,0.8732818354370238
595,-0.15630000000000002,0.0
596,-0.15630000000000002,0.0
597,-0.15630000000000002,0.0
598,-0.15630000000000002,0.0
599,-0.15630000000000002,0.0
600,-0.15630000000000002,0.0
601,-0.15630000000000002,0.0
602,-0.15630000000000002,0.0
603,-0.15630000000000002,0.0
604,-0.15630000000000002,0.0
605,-0.15630000000000002,0.0
606,-0.15630000000000002,0.0
607,-0.15630000000000002,0.0
608,-0.15630000000000002,0.0
609,-0.15630000000000002,0.0
610,19151.430113180155,202.48895240119413
611,48397.82562946611,461.7004233841654
612,66890.19841062152,645.5249623961713
613,75215.82,757.7622889439348
614,72502.38936352769,713.2739227715424
615,60489.0331910404,592.2996332307001
616,57010.26699970628,556.7166024368853
617,27386.930109380395,265.7717093797249
618,313.20245739943186,6.116006013212344
619,-0.15630000000000002,0.0
620,-0.15630000000000002,0.0
621,-0.15630000000000002,0.0
622,-0.15630000000000002,0.0
623,-0.15630000000000002,0.0
624,-0.15630000000000002,0.0
625,-0.15630000000000002,0.0
626,-0.15630000000000002,0.0
627,-0.15630000000000002,0.0
628,-0.15630000000000002,0.0
629,-0.15630000000000002,0.0
630,-0.15630000000000002,0.0
631,-0.15630000000000002,0.0
632,-0.15630000000000002,0.0
633,-0.15630000000000002,0.0
634,20305.14031238499,214.61948206255866
635,46312.731993016525,441.6696755184081
636,55444.92279485523,530.1485761908448
637,44459.18103811338,427.19177322938805
638,53386.118823828234,518.8903585491867
639,16004.901140505373,157.12351504131962
640,19913.028583627514,194.5102417091206
641,43513.148602844616,423.1646471937548
642,-0.15630000000000002,2.620405051287348
643,-0.15630000000000002,0.0
644,-0.15630000000000002,0.0
645,-0.15630000000000002,0.0
646,-0.15630000000000002,0.0
647,-0.15630000000000002,0.0
648,-0.15630000000000002,0.0
649,-0.15630000000000002,0.0
650,-0.15630000000000002,0.0
651,-0.15630000000000002,0.0
652,-0.15630000000000002,0.0
653,-0.15630000000000002,0.0
654,-0.15630000000000002,0.0
655,-0.15630000000000002,0.0
656,-0.15630000000000002,0.0
657,-0.15630000000000002,0.0
658,21466.591849513465,226.6544405995734
659,16993.487232220978,164.11550712808102
660,62241.913280909874,607.2381089153794
661,43548.72065617578,423.76707531944436
662,74024.54233833801,734.8190059008232
663,74181.2292955044,736.6742621438036
664,57059.04448407524,561.3642100938184
665,45181.803121454526,441.959942541531
666,563.5084007271241,8.739537809856634
667,-0.15630000000000002,0.0
668,-0.15630000000000002,0.0
669,-0.15630000000000002,0.0
670,-0.15630000000000002,0.0
671,-0.15630000000000002,0.0
672,-0.15630000000000002,0.0
673,-0.15630000000000002,0.0
674,-0.15630000000000002,0.0
675,-0.15630000000000002,0.0
676,-0.15630000000000002,0.0
677,-0.15630000000000002,0.0
678,-0.15630000000000002,0.0
679,-0.15630000000000002,0.0
680,-0.15630000000000002,0.0
681,-0.15630000000000002,0.0
682,20316.38975175289,214.88352925678316
683,46197.89549876393,448.25795799114144
684,62222.5601458676,615.1748635817527
685,73487.51971323352,740.1390939255525
686,75215.82,778.886460691466
687,74390.41536845847,754.5848652725011
688,64105.25485097159,644.7233703221243
689,45286.13380185234,448.95918381130036
690,808.1945593551238,11.36416422376254
691,-0.15630000000000002,0.0
692,-0.15630000000000002,0.0
693,-0.15630000000000002,0.0
694,-0.15630000000000002,0.0
695,-0.15630000000000002,0.0
696,-0.15630000000000002,0.0
697,-0.15630000000000002,0.0
698,-0.15630000000000002,0.0
699,-0.15630000000000002,0.0
700,-0.15630000000000002,0.0
701,-0.15630000000000002,0.0
702,-0.15630000000000002,0.0
703,-0.15630000000000002,0.0
704,-0.15630000000000002,0.0
705,-0.15630000000000002,0.0
706,19471.775252244548,202.43853726325867
707,31863.38022782775,307.56374445547266
708,36398.776863196996,356.21761230864536
709,58670.62441623969,594.9146813804964
710,75215.82,794.4959659564582
711,73256.21166538737,770.4845600908646
712,63090.00095102918,654.9041105364378
713,44725.021461887154,453.479238395858
714,2718.6805579183933,31.018485389260317
715,-0.15630000000000002,0.0
716,-0.15630000000000002,0.0
717,-0.15630000000000002,0.0
718,-0.15630000000000002,0.0
719,-0.15630000000000002,0.0
720,-0.15630000000000002,0.0
721,-0.15630000000000002,0.0
722,-0.15630000000000002,0.0
723,-0.15630000000000002,0.0
724,-0.15630000000000002,0.0
725,-0.15630000000000002,0.0
726,-0.15630000000000002,0.0
727,-0.15630000000000002,0.0
728,-0.15630000000000002,0.0
729,-0.15630000000000002,0.0
730,15891.651314072013,165.5729153301478
731,42786.085478420326,422.0304880316825
732,39896.822681633734,396.51995926846234
733,50550.66729842129,514.6283253771657
734,75215.82,800.8302124441054
735,62176.7361886529,644.83105269196
736,61449.790414072275,630.4601012257107
737,42903.82772508057,428.34257960194714
738,2763.676605643167,31.17135781771229
739,-0.15630000000000002,0.0
740,-0.15630000000000002,0.0
741,-0.15630000000000002,0.0
742,-0.15630000000000002,0.0
743,-0.15630000000000002,0.0
744,-0.15630000000000002,0.0
745,-0.15630000000000002,0.0
746,-0.15630000000000002,0.0
747,-0.15630000000000002,0.0
748,-0.15630000000000002,0.0
